0.000 888.700 -0.000
0.201 479.990 584.784
0.401 -13.613 496.325
0.602 -138.049 260.245
0.801 -124.782 131.973
1.000 -95.353 72.584
1.198 -71.946 43.792
1.395 -55.363 28.360
1.591 -43.513 19.354
1.786 -34.852 13.749
1.979 -28.336 10.097
2.171 -23.340 7.659
2.361 -19.453 5.980
2.550 -16.381 4.784
2.737 -13.915 3.909
2.922 -11.904 3.244
3.106 -10.230 2.724
3.288 -8.809 2.318
3.468 -7.589 2.000
3.647 -6.528 1.755
3.825 -5.596 1.568
4.001 -4.769 1.425
4.175 -4.019 1.319
4.348 -3.326 1.248
4.520 -2.670 1.215
4.691 -2.034 1.232
4.861 -1.400 1.318
5.030 -0.764 1.522
5.199 -0.166 1.911
5.366 0.266 2.528
5.533 0.367 3.283
5.700 0.065 3.946
5.867 -0.477 4.274
6.033 -0.980 4.283
6.199 -1.352 4.144
6.366 -1.629 3.948
6.533 -1.837 3.716
6.701 -1.996 3.468
6.869 -2.113 3.181
7.038 -2.143 2.876
7.208 -2.111 2.618
7.380 -2.075 2.390
7.553 -2.016 2.160
7.728 -1.920 1.956
7.904 -1.821 1.784
8.083 -1.714 1.622
8.264 -1.589 1.487
8.448 -1.475 1.387
8.634 -1.383 1.291
8.824 -1.282 1.188
9.018 -1.171 1.109
9.215 -1.082 1.047
9.416 -0.998 0.970
9.623 -0.897 0.906
9.834 -0.809 0.860
10.050 -0.730 0.808
10.273 -0.642 0.764
10.502 -0.566 0.734
10.738 -0.501 0.700
10.981 -0.436 0.665
11.233 -0.374 0.631
11.493 -0.311 0.599
11.764 -0.252 0.570
12.045 -0.197 0.543
12.338 -0.150 0.514
12.644 -0.098 0.475
12.963 -0.039 0.445
13.298 0.015 0.416
13.649 0.070 0.388
14.019 0.126 0.360
14.408 0.184 0.339
14.821 0.238 0.319
15.257 0.300 0.300
15.721 0.367 0.309
16.216 0.381 0.341
16.744 0.357 0.303
17.311 0.398 0.241
17.920 0.448 0.196
18.577 0.509 0.160
19.289 0.571 0.136
20.063 0.633 0.116
20.907 0.701 0.098
21.833 0.789 0.097
22.854 0.855 0.152
23.985 0.871 0.193
25.244 0.876 0.214
26.656 0.864 0.238
28.251 0.828 0.186
30.065 0.888 0.118
32.149 0.958 0.146
34.565 0.984 0.157
37.400 1.014 0.185
40.772 1.020 0.237
44.849 0.981 0.255
49.872 0.937 0.265
56.213 0.866 0.211
64.461 0.858 0.147
75.620 0.862 0.082
91.548 0.896 0.026
116.107 0.943 0.001
