0.000 403.645 0.000
0.200 298.606 213.977
0.399 120.638 262.161
0.598 6.528 218.112
0.797 -48.893 153.678
0.994 -62.458 97.753
1.191 -57.257 61.782
1.387 -48.491 40.437
1.582 -40.051 27.229
1.775 -32.818 19.032
1.967 -27.028 13.788
2.158 -22.412 10.310
2.347 -18.760 7.954
2.534 -15.841 6.256
2.720 -13.437 5.030
2.904 -11.476 4.138
3.087 -9.845 3.443
3.268 -8.448 2.916
3.447 -7.263 2.516
3.625 -6.236 2.194
3.801 -5.324 1.950
3.976 -4.516 1.768
4.149 -3.789 1.634
4.321 -3.120 1.547
4.492 -2.497 1.503
4.662 -1.897 1.507
4.831 -1.306 1.587
4.999 -0.732 1.783
5.166 -0.219 2.139
5.332 0.123 2.674
5.498 0.162 3.277
5.664 -0.077 3.741
5.830 -0.429 3.991
5.995 -0.807 4.065
6.161 -1.142 3.975
6.326 -1.371 3.808
6.493 -1.535 3.640
6.659 -1.688 3.470
6.827 -1.841 3.255
6.995 -1.936 2.979
7.165 -1.944 2.710
7.335 -1.923 2.483
7.508 -1.894 2.256
7.682 -1.824 2.036
7.858 -1.730 1.851
8.036 -1.634 1.689
8.216 -1.527 1.542
8.400 -1.414 1.423
8.586 -1.317 1.323
8.776 -1.221 1.215
8.969 -1.106 1.129
9.166 -1.012 1.072
9.368 -0.937 1.000
9.574 -0.842 0.927
9.785 -0.751 0.883
10.002 -0.681 0.835
10.225 -0.602 0.781
10.454 -0.522 0.744
10.691 -0.456 0.711
10.935 -0.393 0.672
11.188 -0.326 0.639
11.450 -0.268 0.611
11.722 -0.215 0.578
12.005 -0.159 0.549
12.300 -0.111 0.519
12.608 -0.061 0.481
12.931 -0.004 0.450
13.269 0.048 0.418
13.624 0.105 0.390
13.998 0.159 0.363
14.393 0.217 0.342
14.811 0.268 0.324
15.254 0.324 0.306
15.726 0.386 0.309
16.230 0.403 0.332
16.769 0.386 0.298
17.347 0.423 0.236
17.970 0.474 0.190
18.644 0.536 0.156
19.374 0.597 0.132
20.170 0.659 0.112
21.041 0.728 0.095
21.998 0.817 0.097
23.056 0.878 0.160
24.230 0.887 0.197
25.543 0.889 0.222
27.020 0.864 0.233
28.694 0.845 0.160
30.607 0.920 0.124
32.815 0.975 0.153
35.391 0.997 0.163
38.433 1.023 0.202
42.079 1.014 0.243
46.529 0.972 0.266
52.076 0.904 0.246
59.179 0.865 0.184
68.592 0.858 0.120
81.649 0.875 0.058
100.957 0.917 0.007
132.382 0.961 0.000
