0.000 102.469 -0.000
0.186 84.207 40.838
0.373 54.378 54.030
0.559 32.572 54.093
0.744 17.278 48.173
0.929 8.243 41.413
1.112 2.134 34.822
1.295 -1.232 28.390
1.477 -2.425 22.923
1.658 -2.171 18.860
1.837 -1.602 16.355
2.015 -1.336 14.432
2.191 -0.826 12.693
2.366 0.018 11.555
2.539 0.777 11.119
2.711 1.149 11.168
2.882 0.997 11.380
3.050 0.388 11.363
3.218 -0.263 10.878
3.384 -0.573 10.186
3.548 -0.594 9.640
3.711 -0.560 9.344
3.873 -0.618 9.217
4.033 -0.825 9.159
4.193 -1.157 9.067
4.351 -1.569 8.915
4.509 -2.033 8.673
4.666 -2.524 8.340
4.822 -3.028 7.877
4.977 -3.481 7.248
5.132 -3.761 6.449
5.287 -3.764 5.638
5.442 -3.575 4.967
5.596 -3.315 4.457
5.751 -3.046 4.063
5.906 -2.770 3.763
6.061 -2.513 3.563
6.217 -2.316 3.437
6.373 -2.190 3.343
6.530 -2.122 3.233
6.689 -2.063 3.101
6.849 -2.014 2.974
7.010 -1.984 2.833
7.173 -1.953 2.671
7.338 -1.906 2.493
7.504 -1.828 2.316
7.674 -1.732 2.163
7.846 -1.635 2.027
8.020 -1.534 1.912
8.198 -1.448 1.816
8.379 -1.376 1.715
8.564 -1.294 1.608
8.754 -1.205 1.521
8.947 -1.130 1.443
9.146 -1.059 1.364
9.350 -0.987 1.288
9.559 -0.921 1.219
9.776 -0.859 1.145
9.998 -0.792 1.071
10.229 -0.725 1.001
10.468 -0.655 0.932
10.715 -0.583 0.874
10.972 -0.521 0.819
11.240 -0.457 0.759
11.519 -0.394 0.706
11.810 -0.334 0.645
12.116 -0.262 0.584
12.436 -0.183 0.532
12.774 -0.099 0.493
13.129 -0.021 0.471
13.505 0.038 0.459
13.903 0.079 0.438
14.326 0.120 0.401
14.777 0.164 0.352
15.258 0.238 0.302
15.774 0.316 0.289
16.329 0.361 0.284
16.927 0.395 0.261
17.576 0.435 0.224
18.280 0.484 0.182
19.049 0.547 0.141
19.892 0.621 0.110
20.821 0.700 0.092
21.850 0.791 0.088
22.996 0.869 0.135
24.282 0.896 0.192
25.733 0.885 0.206
27.384 0.890 0.195
29.280 0.911 0.172
31.479 0.954 0.172
34.059 0.984 0.183
37.128 1.001 0.220
40.837 0.983 0.241
45.409 0.956 0.236
51.179 0.936 0.242
58.685 0.861 0.192
68.840 0.855 0.113
83.335 0.881 0.051
105.681 0.926 0.004
144.586 0.969 0.000
